Date/Time,Badge Number,Reading
2022-05-09 16:00:00,W-84182910,8678.69
2022-05-09 16:00:00,W-51054640,407081.44
2022-05-09 16:00:00,W-51139197,228000.51
2022-05-09 16:00:00,W-84178630,69621.93
2022-05-09 16:00:00,W-51140306,243154.1
2022-05-09 16:00:00,W-51139156,59759.05
2022-05-09 16:00:00,W-51139376,14520.79
2022-05-09 16:00:00,W-84220384,79829.93
2022-05-09 16:00:00,W-51046560,132543.92
2022-05-09 16:00:00,W-84181147,0.01
2022-05-09 16:00:00,W-51046106,126374.06
2022-05-09 16:00:00,W-51063502,11226.34
2022-05-09 16:00:00,W-84218604,34331.42
2022-05-09 16:00:00,W-51139379,250724.38
2022-05-09 16:00:00,W-51140047,12135.9
2022-05-09 16:00:00,W-51140570,97540.6
2022-05-09 16:00:00,W-51140156,55094.1
2022-05-09 16:00:00,W-51140322,159997.2
2022-05-09 16:00:00,W-84181657,33.06
2022-05-09 16:00:00,W-84182059,20605.25
2022-05-09 16:00:00,W-51045048,0.02
2022-05-09 16:00:00,W-51139050,38981.42
2022-05-09 16:00:00,W-51109269,48312.13
2022-05-09 16:00:00,W-51106171,328753.22
2022-05-09 16:00:00,W-51133779,197785.02
2022-05-09 16:00:00,W-51119892,126266.59
2022-05-09 16:00:00,W-51079798,233385.69
2022-05-09 16:00:00,W-51084949,234061.82
2022-05-09 16:00:00,W-51084704,193314.95
2022-05-09 16:00:00,W-51084901,248685.61
2022-05-09 16:00:00,W-51108860,195738.26
2022-05-09 16:00:00,W-51112989,203360.53
2022-05-09 16:00:00,W-51108774,827.7
2022-05-09 16:00:00,W-51106023,237006.72
2022-05-09 16:00:00,W-51099133,82321.64
2022-05-09 16:00:00,W-51102517,114210.09
2022-05-09 16:00:00,W-51109978,118566.55
2022-05-09 16:00:00,W-51101759,401715.75
2022-05-09 16:00:00,W-51135293,218707.52
2022-05-09 16:00:00,W-51122525,59958.07
2022-05-09 16:00:00,W-51132557,137823.25
2022-05-09 16:00:00,W-51079677,243344.08
2022-05-09 16:00:00,W-51109859,143931.56
2022-05-09 16:00:00,W-51080450,198534.3
2022-05-09 16:00:00,W-51113229,361041.57
2022-05-09 16:00:00,W-51108257,105060.73
2022-05-09 16:00:00,W-51115731,104048.06
2022-05-09 16:00:00,W-51112163,122258.68
2022-05-09 16:00:00,W-51111100,142358.58
2022-05-09 16:00:00,W-51111415,98553.53
2022-05-09 16:00:00,W-51119348,83096.19
2022-05-09 16:00:00,W-51117940,291462.85
2022-05-09 16:00:00,W-51105360,297211.55
2022-05-09 16:00:00,W-51107503,397514.49
2022-05-09 16:00:00,W-51102264,57620.33
2022-05-09 16:00:00,W-51106930,156274.3
2022-05-09 16:00:00,W-51122473,182615.29
2022-05-09 16:00:00,W-51123874,409164.22
2022-05-09 16:00:00,W-51127489,224916.35
2022-05-09 16:00:00,W-51110901,50236.81
2022-05-09 16:00:00,W-51107637,335638.5
2022-05-09 16:00:00,W-51106520,249732.95
2022-05-09 16:00:00,W-51109934,137680.68
2022-05-09 16:00:00,W-51105632,496857.91
2022-05-09 16:00:00,W-51105638,389973.42
2022-05-09 16:00:00,W-51108486,363996.19
2022-05-09 16:00:00,W-51106125,109017.2
2022-05-09 16:00:00,W-51078067,135029.79
2022-05-09 16:00:00,W-51112153,132716.32
2022-05-09 16:00:00,W-51113422,392518.34
2022-05-09 16:00:00,W-51103608,175733.5
2022-05-09 16:00:00,W-51135135,435425.33
2022-05-09 16:00:00,W-51072933,218004.27
2022-05-09 16:00:00,W-51078883,200610.76
2022-05-09 16:00:00,W-51080902,161162.52
2022-05-09 16:00:00,W-51080814,105033.52
2022-05-09 16:00:00,W-51067136,185752.43
2022-05-09 16:00:00,W-51064253,547991.18
2022-05-09 16:00:00,W-84183756,191051.18
2022-05-09 16:00:00,W-51085309,293526.22
2022-05-09 16:00:00,W-51045820,121622.07
2022-05-09 16:00:00,W-51039531,190837.83
2022-05-09 16:00:00,W-51033009,101490.66
2022-05-09 16:00:00,W-51039345,108480.73
2022-05-09 16:00:00,W-51061347,577116.06
2022-05-09 16:00:00,W-84179488,332674.15
2022-05-09 16:00:00,W-51119037,376232.75
2022-05-09 16:00:00,W-51125649,516409.26
2022-05-09 16:00:00,W-51046648,249540.14
2022-05-09 16:00:00,W-51125542,69431.34
2022-05-09 16:00:00,W-84182047,89973.49
2022-05-09 16:00:00,W-51066676,337944.04
2022-05-09 16:00:00,W-51128557,298577.16
2022-05-09 16:00:00,W-51050787,73299.97
2022-05-09 16:00:00,W-51068320,33251.7
2022-05-09 16:00:00,W-51044692,225584.01
2022-05-09 16:00:00,W-84183381,264438.4
2022-05-09 16:00:00,W-51038256,188289.73
2022-05-09 16:00:00,W-51043372,195055.94
2022-05-09 16:00:00,W-84180592,25801.9
2022-05-09 16:00:00,W-51057979,98210.51
2022-05-09 16:00:00,W-84176489,117807.23
2022-05-09 16:00:00,W-51037921,66096.31
