Date/Time,Badge Number,Reading
2022-05-09,W-84182910,8579.73
2022-05-09,W-51054640,406822.11
2022-05-09,W-51139197,227846.19
2022-05-09,W-84178630,69287.87
2022-05-09,W-51140306,243088.5
2022-05-09,W-51139156,59738.96
2022-05-09,W-51139376,14510.94
2022-05-09,W-84220384,79462.91
2022-05-09,W-51046560,132543.92
2022-05-09,W-84181147,0.01
2022-05-09,W-51046106,126038.38
2022-05-09,W-51063502,11205.81
2022-05-09,W-84218604,34331.42
2022-05-09,W-51139379,250567.8
2022-05-09,W-51140047,12118.85
2022-05-09,W-51140570,97401.1
2022-05-09,W-51140156,54640.0
2022-05-09,W-51140322,159814.8
2022-05-09,W-84181657,33.06
2022-05-09,W-84182059,20572.66
2022-05-09,W-51045048,0.02
2022-05-09,W-51139050,38829.41
2022-05-09,W-51109269,48241.32
2022-05-09,W-51106171,328372.92
2022-05-09,W-51133779,197701.99
2022-05-09,W-51119892,126204.53
2022-05-09,W-51079798,232900.8
2022-05-09,W-51084949,234061.82
2022-05-09,W-51084704,193188.34
2022-05-09,W-51084901,248504.21
2022-05-09,W-51108860,195448.56
2022-05-09,W-51112989,203271.78
2022-05-09,W-51108774,827.7
2022-05-09,W-51106023,237002.08
2022-05-09,W-51099133,82321.64
2022-05-09,W-51102517,114194.18
2022-05-09,W-51109978,118431.34
2022-05-09,W-51101759,401107.27
2022-05-09,W-51135293,218627.22
2022-05-09,W-51122525,59911.05
2022-05-09,W-51132557,137573.24
2022-05-09,W-51079677,243316.16
2022-05-09,W-51109859,143931.66
2022-05-09,W-51080450,198463.91
2022-05-09,W-51113229,360985.63
2022-05-09,W-51108257,105038.75
2022-05-09,W-51115731,104008.7
2022-05-09,W-51112163,122199.4
2022-05-09,W-51111100,142334.34
2022-05-09,W-51111415,98547.45
2022-05-09,W-51119348,83065.01
2022-05-09,W-51117940,291318.29
2022-05-09,W-51105360,296582.4
2022-05-09,W-51107503,396194.03
2022-05-09,W-51102264,57607.92
2022-05-09,W-51106930,156217.09
2022-05-09,W-51122473,182486.75
2022-05-09,W-51123874,407895.81
2022-05-09,W-51127489,224804.73
2022-05-09,W-51110901,50235.83
2022-05-09,W-51107637,335609.44
2022-05-09,W-51106520,249698.87
2022-05-09,W-51109934,137680.68
2022-05-09,W-51105632,496554.54
2022-05-09,W-51105638,389771.17
